#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
94.0%	18800	-177811.27638700762	298.80635927592067	1.0532089135380929	16.8
94.5%	18900	-178022.30669982938	300.6505619961701	1.0532089135380929	16.8
95.0%	19000	-178312.0096154835	303.4735080404458	1.0526486030632207	16.8
95.5%	19100	-178274.65337351197	303.6230284135627	1.0514087401748624	16.8
96.0%	19200	-178048.24793959942	303.59044651414257	1.0497906180390866	16.8
96.5%	19300	-177936.20735541478	301.5437415727192	1.0499684160350027	16.8
97.0%	19400	-177328.25301772187	299.05721655347054	1.0509295749037006	16.8
97.5%	19500	-178585.64165239414	303.63226365222835	1.0512103175145284	16.8
98.0%	19600	-178412.7171652543	307.83452875709816	1.0512103175145284	16.8
98.5%	19700	-178385.62689827807	302.3025682902364	1.0495570037552195	16.8
99.0%	19800	-178517.38488909887	302.41081938391216	1.0483185639186192	16.8
99.5%	19900	-178153.51764005426	299.24102935934764	1.054159475794345	16.8
100.0%	20000	-177736.78110426245	295.9528071404228	1.0534568788610705	16.8
